ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0059,Impact-Linked Fund for Gender Inclusive FinTech,,Current,,source1,,Final negotiations,source1,"Phased Launch: Q2 - 2022, Q3 - 2022, Q4 - 2022, Q1 - 2023, Q2 - 2023 or later",No,Yes,Yes,No,No,Yes,"Impact-linked loans, Impact-linked revenue share agreements, others. ",source1,,Yes,Dedicated Fund using SIINC and other Impact-Linked Finance instruments,source1,,Q2 - 2022,6-12 months,Open-ended,Q1-2019,source1,,Correcting market failures (by providing financial incentives for achieving social outcomes) and enabling high-impact fintech enterprises to unleash their full impact potential as well as raising investment to scale,source1,,Readiness of enterprises to enter into an Impact-Linked Finance transaction (will be addressed through TA),source1,,No,No,No,Yes,,source1,,No,Yes,No,,source1,"Enterprises will be identified by partnering investors (efficiency, readiness for investment, alignment with investment strategy)",Yes,source1,,Yes,Yes,Yes,No,Other: Financial Innovations,source1,"The question is misleading for Impact-Linked Finance. It can be co-investment for SIINC (what we meant here) or our own instruments. Own instruments are SIINC (which is not a grant but a service contract, debt (impact-linked loan) or other financial innovations such as impact-linked revenue share agreements or recoverable grants.",No,,source1,,USD,100000000,source1,"Each case will have a specific size. USD 100M is the estimated total fund size at 3rd closing, 1st closing in March 2022 (USD13M)","Many innovative fintech enterprises in developing and emerging economies do not have access to appropriate financing to scale up and create additional, gender-transformative impact. Furthermore, these enterprises face a lack of incentives to achieve greater and deeper impact for marginalized women.","High-impact fintech enterprises provide innovative, sustainable and inclusive solutions for their respective customers",Yes,No,No,No,No,No,No,No,No,No,"Financial inclusion, women empowerment",,"1, 5, 8, 10, 17",,,source1,,"Marginalized, low-income women, including migrants.",Each case will have specific target populations. TBD.,Individual,,No,No,No,No,source1,"This fund does not target particular countries yet, therefor it is not possible to classify country income levels. ",,"East Asia & Pacific, South Asia, Sub-Saharan Africa",
INDIGO-PL-0061,SIINC for Vocational Skills Development MENA,,Current,,source1,,Early stage,source1,Phased Launch. Each phase represents an individual project. The number of SIINCs in the future is still unclear.,No,No,Yes,No,No,No,,source1,,No,,source1,,Q3 - 2022,0-6 months,3,Q1-2021,source1,,Correcting market failures (by providing financial incentives) and enabling the enterprise to unleash its full impact potential as well as raising investment to scale,source1,,,,,No,No,No,Yes,,source1,,No,Yes,No,,source1,,Yes,source1,,Yes,Yes,Yes,No,Other: Financial Innovations,source1,Same issue as with other SIINCs. We refer to the co-investment but the outcomes funding is 2M USD,No,,source1,,USD,2000000,source1,USD2M (phase 1),"High unemployment in Jordan and the MENA region, in particular for refugees, youth and women. Despite the stated urgency for greater economic participation of Jordanian women to accelerate the Jordanian economy’s growth, womens’ employment is actually declining. In 2018 that female labour force participation declined from 15.2% in 2018 to 14.5% in 2019. As of 2018, 750,000 Syrian refugees were registered with UNHCR and other UN bodies in Jordan. However, most migrants are outside camps and unregistered.",Providing efficient and effective vocational skills training and linkages to employment.,Yes,Yes,No,No,No,No,No,No,No,No,,,"1, 4, 5, 8, 10,17",,,source1,,"Unemployed, low-income populations without academic education",TBD,Individual,,No,No,Yes,No,source1,,,Jordan (first country),JO
INDIGO-PL-0062,Impact-Linked Fund for WASH,,Current,,source1,,Final negotiations,source1,"Scaling after successful pilot. Pilot: SIINC for WASH Program funding aQysta and KWSH enterprises. Two further SIINC that are close to signing. Phased launched: Q1 - 2023, Q2 - 2023 or later",No,Yes,Yes,No,No,Yes,Impact-ready matching funds. ,source1,,Yes,Dedicated Fund using SIINC and other Impact-Linked Finance instruments,source1,,Q2 - 2022,"6-12 months, 12-24months",Open-ended,Q1-2020,source1,,Correcting market failures (by providing financial incentives for achieving social outcomes) and enabling high-impact enterprises to unleash their full impact potential as well as raising investment to scale,source1,,Readiness of enterprises to enter into an Impact-Linked Finance transaction (will be addressed through TA),source1,,No,No,No,Yes,,source1,,Yes,No,No,,source1,,No,source1,,Yes,Yes,Yes,No,Other: Financial Innovations,source1,Same issue as with other SIINC. We refer to the co-investment.,No,,source1,,USD,20000000,source1,"Each case will have a different size. USD 20M is the estimated total fund size at 3rd closing, 1st phase after successful pilot started.","Many innovative high-impact enterprises in the WASH sector do not have access to appropriate financing to scale up and create additional impact. Furthermore, these enterprises face a lack of incentives to achieve greater and deeper impact","High-impact enterprises provide innovative, sustainable and inclusive solutions in their respective communities",No,No,No,No,No,No,Yes,Yes,No,No,,,"3, 5, 6, 8, 10, 13, 17",,,source1,,Low-income populations without access to clean drinking water or good sanitation in the Global South,Each case will have a specific target population. TBD.,,,No,No,No,No,source1,This fund does not target particular countries yet. ,,"East Asia & Pacific, Sub-Saharan Africa, South Asia ",
INDIGO-PL-0063,Scaling Impact Enterprises of Bangladesh,,Current,,source1,,Final negotiations,source1,"Phased Launch. 7 SIINC and 14 Impact-Ready Matching Funds planned so far, but program will be extended. Phased launched: Q3 - 2022, Q4 - 2022, Q1 - 2023, Q2 - 2023 or later",No,No,Yes,No,No,Yes,Impact-ready matching funds,source1,,Yes,Multi-year market & capacity building program including catalytic financing,source1,,Don’t Know,6-12 months,3,Q1-2019,source1,,Correcting market failures (by providing financial incentives for achieving social impact) and enabling the enterprise to unleash its full impact potential as well as raising investment to scale,source1,,"The lack of, or insufficient impact data collected by impact enterprise makes it difficult to incentivize impact creation in financial terms.",source1,,No,No,No,Yes,,source1,,Yes,No,No,,source1,,Yes,source1,,Yes,Yes,Yes,No,Other: Financial Innovations,source1,Same issue as with other SIINC. We meant the co-investment,Yes,,source1,,USD,5000000,source1,USD 5M (phase 1 ongoing),"Many innovative impact enterprises in Bangladesh do not have access to appropriate financing to scale up and create additional impact. Furthermore, these enterprises facea lack of incentives to achieve greater and deeper impact.","High-impact enterprises provide innovative, sustainable and inclusive solutions in their respective region and field of activity",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",,,source1,,"Vulnerable, low-income populations",Each case will have a specific target population. TBD.,Individual,,No,Yes,No,No,source1,,,Bangladesh,BD
INDIGO-PL-0064,Promotion of School Retention Challenge (Desafío para la promoción de la Retención Escolar),,Current,,source1,,Final negotiations,source1,"Project design is completed. Bien Público selected and trained a service provider to implement the intervention, both private and public outcome funders have been recruited to pay for outcomes during a 2-year programme, and are currently negotiating the project with the investor. The intervention at schools was scheduled to start in March 2022. However, the uncertainty due to the Covid-19 pandemic has led to a delay in the project’s start date. Bien Publico aims to launch the project in August 2022 or the first quarter of 2023 at the latest with the investor.",Yes,No,No,No,No,No,,source1,,No,"The project was originally planned to be part of an outcomes fund initiative managed by Bien Público, hence more pay-by-results projects –preferably, but not exclusively on the education sector- were expected to be launched on the forthcoming years. One more project on children literacy was expected to be launched in 2023. However, the team is now reconsidering launching this project as an individual impact bond.",source1,,Q3 - 2022,12-24 months,3,Q2-2021,source1,,There is a certain level of uncertainty regarding results achieved by educational programs in Chile.  Various public and private institutions are willing to pay for an urgent improvement in the educational outcomes while strengthening the ecosystem and contributing to the evidence body in this sector.,source1,,"1) Lack of reliable data due to the pandemic COVID 19 – the available data does not fully capture the effects of the pandemic on the children's educational outcomes and has raised challenge for the design. (2) Uncertainty due to the pandemic COVID 19, social unrest, and other external events – schools could be closed if a new wave hits the country, causing a negative affect the service provider's capacity to deliver services and to measure the outcomes. (3) Coordination of multiple stakeholders - Bien Público is an initiative that brings together more than eight organisations that aim to participate as outcome funders.",source1,,Yes,No,No,No,Outcome Funder and support to embed the programme as part of the public policy. ,source1,,Yes,No,No,,source1,,Yes,source1,,Yes,No,No,No,,source1,,Yes,Bien Publico’s partners provided financial resoruces to fund the development costs of the challenge and impact bonds,source1,,USD,770000,source1,"$664.000.000 CLP and $140.000.000CLP for monitoring, evaluation and other administrative costs.","Promote school retention and attendance of children and adolescents from vulnerable contexts in the Metropolitan Region  In 2019, among 9th and 11th grade students, the dropout rate in Chile reached around 6.5%. This figure may even increase as a consequence of the pandemic scenario in 2020 and 2021. Also in 2019, a third of Chilean students were chronically absent. This is a highly relevant topic as it can have serious effects on literacy and the acquisition of basic math skills, as well as being a key predictor of school dropout.","Accompaniment, advice, training and delivery of school supplies to all the school community to promote and foster a culture of school involvement to prevent dropout and increase attendance. ",No,Yes,No,No,No,No,No,No,No,No,,,"1, 2, 10",,,source1,,Children and adolescents attending 8° and 9° grades at public or subsidized-private schools within the Metropolitan Region. Schools need to have a Vulnerability Index greater than or equal to 70% and a school dropout average rate of at least 7% in the last five years,1060,Individual,,No,No,No,Yes,source1,1060 children and adolescents,,Chile,CL
INDIGO-PL-0066,Ghana Education Outcomes Fund,,Launched,,source1,,Final negotiations,source1,"The project grant agreement was signed with the World Bank and Government of Ghana in July 2020. The procurement process for service providers, investors and the independent verification agent is ongoing",No,Yes,No,No,No,No,,source1,,Yes,"The Education Outcomes Fund is a component of the World Bank’s Ghana Accountability for Learning Outcomes Project (GALOP). GALOP provides funding for outcomes (IDA, IBRD, and Global Partnership for Education funding) in education aimed at improving the quality of education in low performing basic education schools and strengthening education sector equity and accountability in Ghana",source1,,Q3 - 2022,>24 months,5,Q3-2018,source1,,"This intervention allows Ghana’s Ministry of Education to use limited existing resources more effectively by linking financing with impact and increasing emphasis on results. This model further improves collaboration among a multitude of stakeholders, brings in private sector expertise, and provides service providers the flexibility for innovative solutions to address specific education challenges for children in Ghana, and in particular OOSC/girls. Opportunity to align well-established non-state based education providers with Government priorities (as programme to be Gov-led) and greater accountability.",source1,,,,,Yes,No,No,No,Project Implementing Agency,source1,,Yes,No,No,,source1,,Yes,source1,,No,No,No,Yes,Working capital from investors,source1,FCDO provides a grant to cover preparation costs,Yes,FCDO provided a grant to cover preparation costs,source1,,USD,30000000,source1,"US$30 million ($25.5 million GPRBA grant from FCDO, $4.5 million Government of Ghana)","Whilst Ghana has made progress in expanding access to education, there are still over 450,000 primary-aged children who are out-of-school. For children in-school, learning outcomes are poor. In terms of years of schooling, though children in the country are expected to complete on average 11.6 years of schooling, 5.7 of these years are lost due to poor school content.","Ghana’s Ministry of Education will work with social investors and NGOs as service providers to implement the program, with the objectives of re-integrating OOSC into Ghana’s mainstream school system through an accelerated learning program and improving learning outcomes in the schools in which these children are placed, with special emphasis on girls’ education. The project will also help build sustainable capacity in targeted schools.  Investors will provide the upfront financing in cases where service providers are unable to do so. Outcome payments to investors and/or service providers will be based on agreed-upon outcomes, and technical assistance will be provided for building government capacity to contract and manage outcomes.",No,Yes,No,No,No,No,No,No,No,No,,,4,,,source1,,Out of school children (OOSC) and primary school children grades P1-P4 attending a subset of GALOP beneficiary schools in which OOSC are placed. Emphasis placed on girls.,200000,Individual,,No,Yes,No,No,source1,"Around 120,000 (80,000 OOSC in areas with the highest absentee and dropout rates, including in Accra, and 120,000 in-school beneficiaries in 600 beneficiary schools)",,Ghana,GH
INDIGO-PL-0070,Social Outcomes Contract (SOC) for the Work Inclusion of Inmates,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,,source1,,,,,,Q4 - 2022,12-24 months,,,source1,,The rationale lies in the need to provide the Prison Administration of the Lombardy Region with the funding required to experiment with innovative work inclusion methods for convicts that would not be otherwise approved or funded.,source1,,"Lack of baseline data infrastructure  – essential to validate outcomes and related payments to investors and other stakeholders;
Difficulty connected to integrating the SOC cycle into the administrative procedures and economic planning of the Department of Prison Administration",source1,,Yes,No,No,No,,source1,,,,,,,,Yes,source1,,No,No,No,Yes,No,source1,,Yes,,source1,,EUR,2800000,source1,,"Poor social and working inclusion of former inmates result in high reoffending rates. Challenges: Overcrowded detention facilities; working inclusion initiatives are neither systemic, sustainable nor scalable; only a little share of potential recipients currently served",,Yes,No,No,Yes,No,No,No,No,No,No,No,,,,,source1,,Convicts in the Lombardy Region prison system,200,Individual,,No,No,No,Yes,source1,,,"Italy, Lombardy region",IT
INDIGO-PL-0071,SOC for Care Leavers,,Current,,source1,,Early stage,source1, A feasibility study has been conducted from Jun-Nov 2021.,Yes,No,No,No,No,No,,source1,,Yes,Technical assistance financed under the EIAH,source1,,,6-12 months,5 years,Q2-2021,source1,,"There is a lack of support for young people who are leaving care, but helping them can have large beneficial spillover effects over time. Through a SOC, these benefits can be measured and provide as a basis for including this support in policy over time.",source1,,Not launched yet,source1,,,,,,,,,,,,,,,Yes,source1,,,,,,,,,Yes,,source1,,EUR,2380000,source1,,"Developing the outcomes framework and overall design went quite smoothly, but one important challenge was how such a model could be procured within Lithuanian law. Another issue was to agree on the expected success rates of participants.","The intervention aims to provide individual support services to young adults, through support of a case worker. Additionally, some of the participants will also be provided accommodation. It is suggested that the intervention takes 12 months.",Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,,"1,3,8,10",,,source1,Service provision to young people are leaving or have left care in various life domains,"Young people between16-24 years old who are leaving care, those who have already left care earlier and are living independently, and young people that are preparing to leave care or living in a family that is facing increased levels of social risk.",500,Individual,,No,No,No,Yes,source1,"100 participants per year, total of 500 participants",,Lithuania,LT
INDIGO-PL-0072,Poverty alleviation for women in Bangladesh,,Current,,source1,,Scoping,source1,,Yes,No,No,No,No,No,,source1,,Yes,"BRAC has been selected by Global CItizens and NPX as one of its partners to launch a $25M Impact Bond for poverty alleviation, with the ability to absorb $100M.",source1,,Q2 - 2023,0-6 months,4,,source1,,"This instrument provides for larger amounts of capital that are steady, reliable and transformational, and flexible capital explicitly linked to outcomes. Puts NGOs in the driver's seat. Bangladesh has now moved to a middle-income status, has diminishing grant/ODA funding, and needs to recover from the COVID pandemic. Much of BRAC’s testing, piloting and scaling was achieved through its Strategic Partnership Agreement with FCDO and DFAT, which has now decreased. BRAC is seeking Innovative Finance mechanisms to unlock more funding, especially risk capital from investors to both test new models, iterate on existing models and achieve scale, either directly or through government, with whom BRAC has a long-standing relationship. DIB addresses the specific socio-economic context in Bangladesh and BRAC’s relevant response.",source1,,Currently in the process of sourcing outcomes funding,source1,,No,No,No,No,Not determined yet,source1,,No,Yes,No,No,source1,Global Citizen reached out to BRAC and asked BRAC to provide information which was analysed and assessed and BRAC met the rigorous criteria that they had outlined.,No,source1,,Yes,No,No,No,No,source1,,No,,source1,,USD,25000000,source1,,"An additional 24 million Bangladeshis are living in poverty as a result of the COVID-19 pandemic. Communities in remote areas, socially excluded women, disabled, and indigenous people were most impacted. Millions of Bangladeshis lack the ability to provide a sustainable livelihood for their families and do not have access to sufficient food, income, health care and education services. Additionally, they lack the skills, networks and resources to engage productively in the economy.","BRAC will be using its evidence-based, multifaceted Graduation model providing a two-year intervention --cash, asset transfer, training, mentoring, linkages to markets to underserved women. This would result in an additional: 1) 50,000 women-headed families permanently above the poverty line 2) Increased participation by women in household decision making 3) Increased productive assets and savings for the poorest Bangladeshis.",No,No,Yes,No,No,No,No,No,No,No,,,"1,5,10",,,source1,,Rural women-led households earning less than $1.90/day.,50000,Individual,,No,Yes,No,No,source1,,,Bangladesh,BD
INDIGO-PL-0074,Digital Work Accelerator,,Current,,source1,,Final negotiations,source1,The project has been mobilizing for over 20 months and is in a highly mobilized state between private sector and government,No,Yes,No,No,No,No,,source1,"We are market building together with government and the private sector to scale the pipeline of digital skills. This includes redirecting public, private and donor funding to achieve the scale objectives of the entire country.",Yes,"We are market building together with government and the private sector to scale the pipeline of digital skills. This includes redirecting public, private and donor funding to achieve the scale objectives of the entire country.",source1,,Q4 - 2022,0-6 months,3,,source1,,Digital Jobs is one of the only areas in the South African economy where we have more demand for higher complexity digital jobs than supply. We also have a supply and demand mismatch in terms of what skills are being generated. The outcomes financing is intended to realign and scale what the market requires and to do this inclusively.,source1,,"Challenges in amending government procurement laws to conform with outcomes funding, despite funding being approved by the government.",source1,,Yes,No,Yes,No,,source1,,Yes,No,No,,source1,,Yes,source1,,No,No,No,Yes,,source1,,Yes,,source1,,ZAR,3500000000,source1,USD 212000000,"South Africa has a youth unemployed rate of about 70%. One million youth enter the job market each year, two thirds of which do not find their way into employment, education, or training. In the digital sector, as a result of the supply and demand mismatch, it is estimated that over 80,000 vacancies go unfilled.",Innovative and efficient and demand driven digital skills apprenticeships to transition poor youth into available vacancies.,Yes,No,No,No,No,No,No,No,No,No,,8,8,,,source1,"Scaling the development of digital skills across the economy, which can serve all sectors.","Excluded unemployed individuals that have the right profile for the most in-demand digital entry-level roles. We have mapped the demand requirements for these roles in the South African economy and are looking to stimulate 80,000 new jobs by 2025.",80000,Individual,,No,No,Yes,No,source1,"80,000 beneficiaries by 2025 into higher complexity digital jobs",,South Africa,ZA
INDIGO-PL-0075,Regenerative Outcomes Finance Platform,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,Outcomes-based finance. Details TBD.,Yes,,source1,,Q1 - 2023,12-24 months,5,Q1-2022,source1,,"Outcomes based financing is being used to help de-risk and accelerate the transition to regenerative agriculture. Outcomes model also allowing for greater focus on ESG reporting, performance management and behavior change.",source1,,,,,No,No,No,Yes,,source1,,No,Yes,No,,source1,,Yes,source1,,No,No,No,No,TBD,source1,,Yes,,source1,,TBD,TBD,source1,,"Solving the global climate crisis must consider the impacts of the global food system on the environment. Transitioning to regenerative food production at scale will require a shift in the practices of both large and small producers and of the Food and Beverage industry. The F&B sector has been particularly ambitious in its commitments to cutting supply chain emissions and Net Zero. A transition of this magnitude requires financing that incents farmers in shifting to regenerative practices. It also demands dynamic learning, outcomes-focused pricing methods, new technologies to capture robust data and the identification of new business opportunities for farmers who become regenerative producers.",Multiple transition pathways to be tested for transitioning to regenerative agriculture based on locally appropriate technology and global best practice.,No,No,No,No,No,Yes,Yes,No,No,No,,,"12,13,15",,,,,Small and medium sized agriculture producers of key agriculture commodities that are part of supply chains of large food and beverage companies.,TBD,Individual,,No,No,Yes,No,source1,,,Latin America & the Caribbean,
INDIGO-PL-0076,Rwanda Poverty Graduation and Climate Resilience Outcomes Project,,Current,,source1,,Scoping,source1,,Yes,No,No,No,No,No,,source1,,,,,,Q2 - 2023,0-6 months,3,,source1,Expected launch date: Q2-2023 or later,"By tying payment to results, we expect to encourage and provide space for innovation and the highest-quality implementer-led performance management, ensuring multiple service providers can achieve the intended results at scale. It allows implementers to further and better adapt proven solutions to various context, demographics, and populations by putting the people we serve at the program’s center. This has been proven through the success of the Village Enterprise DIB, Africa’s first for poverty alleviation, which exceeded its targets and shielded households from the worst of the Covid-19 pandemic’s economic impacts.",source1,,Outcomes funding,source1,,No,No,No,No,Currently the domestic government is a partner in codesigning the project.,source1,,,,,,,,,,,Yes,No,No,Yes,,source1,,,,,,,,,,"In Rwanda over 6 million people are living in extreme poverty and climate change deepens inequalities as more frequent storms, flooding, drought, and changes in rainfall patterns are impacting the poorest communities the most, making it even more difficult to secure decent livelihoods. The government of Rwanda has adopted a Graduation Policy to eliminate poverty by 2030, but in the context of global funding constraints and varying returns to graduation programming across countries, there is more we must learn about how to most cost effectively graduate households to resilience in the Rwandan context. This outcomes project will incorporate a rigorous, rapid-cycle learning agenda from the onset of the project, and by tying payment to results will provide the flexibility and incentive to iterate, learn, and scale successfully.","Village Enterprise’s approach to economic inclusion centers around or cost-effective, one-year ‘Poverty Graduation’ model. We use rigorous targeting to identify rural households living in extreme poverty, provide training around savings, loans, and microenterprise development, establish ‘Business Savings Groups’ of thirty individuals, provide seed capital grants to start group businesses, and support through mentoring.",No,No,Yes,No,No,No,No,No,No,No,,1,"1,5,13",,,,,Rural extreme poor households earning less than $1.90/day,54000,Other,Households,Yes,No,No,No,,"Target population: Minimum of 54,000 households and 360,000 direct and indirectly impacted individuals in the first three years.",,Rwanda,RW
INDIGO-PL-0077,Moovjee Talents,,Current,,source1,,Final negotiations,source1,,Yes,No,No,No,No,No,No,source1,,Yes,Additional financing within the Ministry of Employment call for IB proposals ‘Innovating for Employment',source1,,Q1 - 2023,6-12 months,3,2022-04,source1,,Social Innovation,source1,,Definition of relevant metrics; access to reference data,source1,,Yes,No,No,No,No,source1,,Yes,No,No,No,source1,,No,source1,,Yes,No,No,No,No,source1,,No,,source1,,EUR,2429618,source1,,"Help vulnerable young people access sustainable employment 
",Support through mentoring,Yes,No,No,No,No,No,No,No,No,No,No,8,,,,source1,,Young people between 18 and 30 with difficult access to employment (75% of them from vulnerable population groups),1600,Individual,,No,No,No,Yes,source1,,,Five regions including Ile-de-France and Occitanie,FR
INDIGO-PL-0078,Support to mobility and employment of overseas students (Article 1),,Current,,source1,,Final negotiations,source1,,Yes,No,No,No,No,No,No,source1,,Yes,Additional financing within the Ministry of Employment call for IB proposals ‘Innovating for Employment’,source1,,Q1 - 2023,6-12 months,5,2022-04,source1,,Social Innovation,source1,,Definition of relevant metrics; access to reference data,source1,,Yes,No,No,No,No,source1,,Yes,No,No,No,source1,,No,source1,,Yes,No,No,No,No,source1,,No,,source1,,EUR,2867686,source1,,Overseas students have more difficulties to access employmen,1. Employability workshops with high school students overseas; 2. Mixed residences with overseas and mainland students in higher education including collective and individual support toward social and work integration.,Yes,Yes,No,No,No,No,No,No,No,No,No,8,4,,,source1,,1200 overseas students in high school and 160 overseas students in higher education in mainland France (+ 160 mainland students),1520,Individual,,No,No,No,Yes,source1,,,"mainland France: Lyon, Montpellier and Versailles academic areas, Antilles & Guyane, La Réunion & Mayotte",FR
INDIGO-PL-0079,Clubhouse,,Current,,source1,,Late stage,source1,,Yes,No,No,No,No,No,No,source1,,Yes,Additional financing within the Ministry of Employment call for IB proposals ‘Innovating for Employment’,source1,,Q1 - 2023,6-12 months,5,2022-04,source1,,Social Innovation,source1,,Definition of relevant metrics; access to reference data; operations: legal framework for transition jobs,source1,,Yes,No,No,No,No,source1,,Yes,No,No,No,source1,,No,source1,,,,,,,source1,,No,,source1,,EUR,2217557,source1,,People with mental disorders need more flexible working conditions to get back to employment,"Flexible, part-time “Transition jobs” offered to Clubhouse members. In parallel,the IB aims to define a secure legal framework for these transition jobs.",Yes,No,No,No,Yes,No,No,No,No,No,No,,,,,source1,,Clubhouse members with mental disorders,483,Individual,,No,No,No,Yes,source1,,,"Lyon, Bordeaux, Paris, Lille, Nantes",FR
INDIGO-PL-0080,DECLIC Emploi (Les Eaux Vives – Emmaüs),,Current,,source1,,Final negotiations,source1,,Yes,No,No,No,No,No,No,source1,,Yes,Additional financing within the Ministry of Employment call for IB proposals ‘Innovating for Employment’,source1,,Q1 - 2023,6-12 months,5,2022-04,source1,,Social Innovation,source1,,Definition of relevant metrics; access to reference data,source1,,Yes,No,No,No,No,source1,,Yes,No,No,No,source1,,No,source1,,Yes,No,No,No,No,source1,,No,,source1,,EUR,3179480,source1,,Getting people with mental disorders to employment,"Working first approach; 2. Social, professional, and health support; 3. Peer mentoring",Yes,No,No,No,Yes,No,No,No,No,No,No,3,8,,,source1,,People with mental disorders without official ‘disabled worker’ status,240,Individual,,No,No,No,Yes,source1,,,Loire-Atlantique,FR
INDIGO-PL-0081,Employment modes (modes d’emploi) (Gojob),,Current,,source1,,Final negotiations,source1,,No,No,No,No,Yes,No,No,source1,,Yes,Additional financing within the Ministry of Employment call for IB proposals ‘Innovating for Employment’,source1,,Q1 - 2023,6-12 months,3,2022-04,source1,,Social Innovation,source1,,Definition of relevant metrics; access to reference data; contracting framework without external investors,source1,,Yes,No,No,No,No,source1,,Yes,No,No,No,source1,,No,source1,,No,No,No,No,self-financing by Gojob,source1,,No,,source1,,EUR,2527350,source1,,Getting disadvantaged young NEETs into employment,1. Work first approach; 2. Algorithm to match NEETs and employing opportunities without discrimination bias; 3. Online training and mentoring,Yes,No,No,No,No,No,No,No,No,No,No,8,10,,,source1,,NEETs between 15 and 29,3600,Individual,,No,No,No,Yes,source1,,,TBD,FR
